states = 2, alphabet_size = 2, number of iterations = 50000 , k = 2:6
TM 	 k value 	 iterations 	 amplitude 	 Self-Compression 	 Normalized Compression 
-------------------------------------------------
0	2	50000	50000	15.610	0.00031219	
1	2	50000	50000	19.195	0.00038389	
2	2	50000	1	1.0000	1.0000	
3	2	50000	25000	31.219	0.0012488	
4	2	50000	50000	15.610	0.00031219	
5	2	50000	50000	33.219	0.00066438	
6	2	50000	50000	15.610	0.00031219	
7	2	50000	50000	31.804	0.00063608	
8	2	50000	25000	14.610	0.00058439	
9	2	50000	25000	31.219	0.0012488	
10	2	50000	2	1.5850	0.79248	
11	2	50000	16668	30.049	0.0018028	
12	2	50000	50000	15.610	0.00031219	
13	2	50000	50000	19.195	0.00038389	
14	2	50000	1	1.0000	1.0000	
15	2	50000	25000	31.219	0.0012488	
16	2	50000	50000	15.610	0.00031219	
17	2	50000	50000	33.219	0.00066438	
18	2	50000	50000	32.804	0.00065608	
19	2	50000	50000	19.195	0.00038389	
20	2	50000	25000	18.194	0.00072778	
21	2	50000	25000	31.219	0.0012488	
22	2	50000	2	2.5850	1.2925	
23	2	50000	16668	18.609	0.0011165	
24	2	50000	50000	15.610	0.00031219	
25	2	50000	50000	19.195	0.00038389	
26	2	50000	1	1.0000	1.0000	
27	2	50000	25000	31.219	0.0012488	
28	2	50000	50000	15.610	0.00031219	
29	2	50000	50000	33.219	0.00066438	
30	2	50000	25001	14.610	0.00058437	
31	2	50000	25001	18.195	0.00072775	
32	2	50000	1	1.0000	1.0000	
33	2	50000	25000	31.219	0.0012488	
34	2	50000	25001	14.610	0.00058437	
35	2	50000	25001	31.219	0.0012487	
36	2	50000	50000	15.610	0.00031219	
37	2	50000	50000	19.195	0.00038389	
38	2	50000	1	1.0000	1.0000	
39	2	50000	25000	31.219	0.0012488	
40	2	50000	50000	15.610	0.00031219	
41	2	50000	50000	33.219	0.00066438	
42	2	50000	33334	15.025	0.00045073	
43	2	50000	33334	30.634	0.00091901	
44	2	50000	16667	14.025	0.00084147	
